ctry percent
BE 0
DE 0.7697169
DNK 0.1892717
EE 13.07171
FI 34.78591
FO 0
FR 0
GB 0
IE 0
LT 1.997885
LV 13.25094
NL 0
NO 0
PL 9.839577
RU 5.513585
SE 20.58141
