ctry percent
BE 0
DE 0.01059357
DNK 64.88031
EE 0
FI 0
FO 0
FR 0
GB 0
IE 0
LT 0
LV 0
NL 0
NO 2.609454
PL 0
RU 0
SE 32.49964
