stock  init_proprecru_per_szgroup
0 0
0 0
0 8e-04
0 0.047525
0 0.224575
0 0.264725
0 0.2697
0 0.169525
0 0.022825
0 0.000325
0 0
0 0
0 0
0 0
1 0
1 0
1 0.00775
1 0.19305
1 0.313225
1 0.3274
1 0.153975
1 0.0046
1 0
1 0
1 0
1 0
1 0
1 0
2 0
2 0
2 0
2 0
2 0.000775
2 0.078725
2 0.3774
2 0.4157
2 0.1267
2 0.0007
2 0
2 0
2 0
2 0
3 0.49985
3 0.468775
3 0.031375
3 0
3 0
3 0
3 0
3 0
3 0
3 0
3 0
3 0
3 0
3 0
4 0.825
4 0.175
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
5 0.624
5 0.37595
5 0.00005
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
6 0.4711
6 0.4027
6 0.1262
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
7 0
7 0.028775
7 0.739925
7 0.2313
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
8 0.51825
8 0.47075
8 0.011
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
9 0.313825
9 0.4308
9 0.211625
9 0.04095
9 0.002775
9 0.000025
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
10 0.318175
10 0.422025
10 0.21075
10 0.045225
10 0.003725
10 0.0001
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
11 0.264925
11 0.4318
11 0.2372
11 0.059625
11 0.006325
11 0.000125
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
12 0.6602
12 0.339775
12 0.000025
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
13 0.67825
13 0.321725
13 0.000025
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
14 1
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
15 0
15 0
15 0
15 0.00035
15 0.208575
15 0.463225
15 0.32785
15 0
15 0
15 0
15 0
15 0
15 0
15 0
16 0.6932
16 0.3068
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
17 0.000025
17 0.999575
17 0.0004
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
18 0.892475
18 0.107525
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
19 0
19 0.00005
19 0.0234
19 0.286125
19 0.390225
19 0.28585
19 0.01435
19 0
19 0
19 0
19 0
19 0
19 0
19 0
20 0.39235
20 0.324225
20 0.26705
20 0.016375
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
