ctry percent
BE 0
DE 59.24973
DNK 37.21208
EE 0
FI 0.2608219
FO 0
FR 0
GB 0
IE 0
LT 0
LV 0
NL 0
NO 0
PL 3.005747
RU 0
SE 0.2716145
