ctry percent
BE 0
DE 3.638642
DNK 9.409944
EE 9.000358
FI 4.351128
FO 0
FR 0
GB 0
IE 0
LT 4.953633
LV 16.08129
NL 0
NO 0
PL 23.50902
RU 11.21059
SE 17.84539
