ctry percent
BE 0
DE 0.007379315
DNK 28.72204
EE 0
FI 0
FO 0
FR 0
GB 0
IE 0
LT 0
LV 0
NL 0
NO 55.08908
PL 0
RU 0
SE 16.1815
