stock;Winf;k;Linf;K;t0;a;b;L50;alpha;beta;r_age;tac_tons;fbar_age_min;fbar_age_max;F_target;F_percent;TAC_percent;B_trigger;FMSY;fbar_assessment;ssb_assessment;mls_cat;mls;sz_bin_cm;unit_sizebin;CV_recru;mat;mat_cat;etha_m;kappa;q;n;fzeroest;species
HER.nsea;525;0.849;35.7;0.58;0;0.00603;30.904;22;113.98;0.0000008;0;600588;2;6;0.26;10;15;1400000;0.26;0.21;1097826;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;HER.nsea
LEM.kask;0;0;40;0.3;0;0.0065;3.014;27;0;0;0;666;2;4;0;10;15;1000000;0;0;0;4.8;24;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;LEM.kask
MAC.nsea;9988;0;40;0.4;0;0.003;3.29;26;5.11;0.0000004;0;0;0;0;0;10;15;0;0;0;0;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;MAC.nsea
MUS.kask;0;0;5;0.1;0;0.01;30.147;0;0;0;0;50000;0;1;2;10;15;1000000;2;0;0;0;0;5;0.1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;MUS.kask
MUS.2224;0;0;5;0.1;0;0.01;30.147;0;0;0;0;50000;0;1;2;10;15;1000000;2;0;0;0;0;5;0.1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;MUS.2224
NEP.kask;0;0;6.5;0.1;0;0.048;2.883;3;0;0;0;11738;0;4;0.079;10;15;0;0.079;0.026;5093000;2.1;10.5;5;0.1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;NEP.kask
NOP.nsea;214;0.849;20.3;0.7;0;0.0068;3;13.1;1424.3;0.0000043;0;358000;1;2;0.62;10;15;39450;0.62;0.224;166849;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;NOP.nsea
PLE.2123;3500;0.12;54;0.11;0;0.01;3.0147;25;4.06;0.0000035;0;8639;3;5;0.37;10;15;5558;0.37;0.17;19064;5.4;27;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;PLE.2123
PLE.2432;3500;0.12;54;0.11;0;0.01;3.0147;25;4.06;0.0000035;0;4034;3;5;0;10;15;0;0;0.845;0;5;25;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;PLE.2432
PLE.nsea;3500;0.12;54;0.11;0;0.01;3.0147;30;4.06;0.0000035;0;127986;2;6;0.21;10;15;564599;0.21;0.199;1032942;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;PLE.nsea
PRA.kask;0;0;3.1;0.5;0;0.0026;3.613;2;5000000;0;0;6230;1;3;0.6;10;15;9900;0.6;0.56;8212;1;5;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;PRA.kask
SAN.nsea;36;1;18;0.42;0;0.0012;3.32;13;1643.3;0.0000009;0;0;0;0;0;10;15;0;0;0;0;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;SAN.nsea
SOL.2024;1500;0.284;39;0.4;-1.34963;0.0057;31.998;25;5.11;0.0000168;1;391;4;8;0.23;10;15;2600;0.23;0.23;2749;4.8;24;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;SOL.2024
SOL.nsea;1500;0.284;39;0.4;-1.34963;0.0057;31.998;25;5.11;0.0000168;1;15694;2;6;0.202;10;15;37000;0.202;0.22;54818;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;SOL.nsea
SPR.kask;20;0.68;16.3;0.6;0;0.0021;3.475;10;148.41;5.00E-10;0;26624;0;0;0;10;15;0;0;0;0;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;SPR.kask
SPR.nsea;20;0.68;15.2;0.46;0;0.0021;3.475;9;148.41;5.00E-10;0;176411;1;2;0.7;10;15;142000;0.7;1.718;496976;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;SPR.nsea
SPR.2232;20;0.7;13.6;0.6;0;0.0041;3.22;10;148.41;5.00E-10;1;243000;3;5;0.26;10;15;570000;0.26;0.22;1391000;0;0;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;SPR.2232
TUR.2232;0;0;50;0.12;0;0.0179;3.02;25;0;0;0;194;0;0;0;10;15;0;0;0;0;6;30;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;TUR.2232
WHG.kask;1192;0.323;62.4;0.162;-0.97749;0.0089;2.926;20;13.47;0.0000023;1;1050;0;0;0;10;15;0;0;0;0;4.6;23;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;WHG.kask
WHG.2232;1192;0.323;63.8;0.141;-0.97749;0.035;2.58;20;13.47;0.0000023;0;0;0;0;0;10;15;0;0;0;0;4.6;23;5;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;WHG.2232
ZPO.2024;60000;0;153;0;0;0.000081;12.401;147;0;0;4;100000;0;0;0;0;0;0;0;0;0;0;50;13;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;ZPO.2024
ZBI.2224;2800;0;71;0;0;2.8;0;0;0;0;3;100000;0;0;0;0;0;0;0;0;0;0;50;13;1;0.2;0;0;0.25;200000000;0.8;0.75;0.6;ZBI.2224
