ctry percent
BE 0
DE 3.738282
DNK 16.93241
EE 8.70133
FI 4.313785
FO 0
FR 0
GB 0
IE 0
LT 3.997311
LV 11.07968
NL 0
NO 0.2172647
PL 23.31128
RU 11.14985
SE 16.5588
