ctry percent
BE 0
DE 5.992412
DNK 3.531657
EE 8.516355
FI 34.70971
FO 0.1264904
FR 0
GB 0
IE 0
LT 1.245032
LV 6.658029
NL 0
NO 0.6522898
PL 10.8137
RU 5.505757
SE 22.24857
