ctry percent
BE 0
DE 0.08282987
DNK 82.53375
EE 0
FI 0
FO 0
FR 0
GB 0
IE 0
LT 0
LV 0
NL 13.2782
NO 0.6773077
PL 0
RU 0
SE 3.427905
