ctry percent
BE 0
DE 11.16023
DNK 12.59432
EE 1.263471
FI 0.1077967
FO 0
FR 0
GB 0
IE 0
LT 1.453989
LV 11.0715
NL 0
NO 0
PL 55.76301
RU 5.83855
SE 0.7471338
