stock  init_weight_per_szgroup
0 0.0001462341
0 0.003978365
0 0.01848339
0 0.05083631
0 0.1082332
0 0.1978848
0 0.327013
0 0.502849
0 0.7326316
0 1.023606
0 1.383025
0 1.818144
0 2.336224
0 2.944533
1 0.0001266451
1 0.004076539
1 0.02048018
1 0.05930595
1 0.1312184
1 0.2473941
1 0.4194203
1 0.6592298
1 0.9790549
1 1.391393
1 1.90898
1 2.544769
1 3.311913
1 4.223748
2 0.0001075924
2 0.003426547
2 0.01712959
2 0.04944177
2 0.1091269
2 0.2053435
2 0.3475661
2 0.5455342
2 0.8092168
2 1.148786
2 1.574596
2 2.097166
2 2.727169
2 3.475417
3 0.00009444396
3 0.002906132
3 0.01429755
3 0.04083523
3 0.08942451
3 0.167216
3 0.2815552
3 0.4399495
3 0.6500464
3 0.9196163
3 1.25654
3 1.668796
3 2.164457
3 2.751679
4 0.0001229066
4 0.004044089
4 0.02052578
4 0.05983934
4 0.1330657
4 0.2518859
4 0.4284646
4 0.6753754
4 1.005548
4 1.432226
4 1.96894
4 2.629478
4 3.42787
4 4.378364
5 0.0002372698
5 0.006103978
5 0.02763108
5 0.07470546
5 0.1570303
5 0.2841838
5 0.4656494
5 0.7108342
5 1.029081
5 1.429678
5 1.921865
5 2.514838
5 3.217757
5 4.039744
6 0.00008306781
6 0.002473206
6 0.0119826
6 0.03387978
6 0.07363561
6 0.1368657
6 0.2292999
6 0.3567621
6 0.5251574
6 0.7404618
6 1.008714
6 1.336011
6 1.7285
6 2.192378
7 0.00009857631
7 0.002717701
7 0.01270466
7 0.03508517
7 0.07492568
7 0.137321
7 0.227388
7 0.3502612
7 0.5110906
7 0.7150389
7 0.9672809
7 1.273001
7 1.637395
7 2.065664
8 0.0001028737
8 0.002820642
8 0.01315225
8 0.03626019
8 0.07733774
8 0.1415996
8 0.2342771
8 0.3606148
8 0.525869
8 0.7353056
8 0.9941994
8 1.307833
8 1.681496
8 2.120484
9 0.0001583688
9 0.0002743958
9 0.0004367188
9 0.0006531761
9 0.0009316221
9 0.001279926
9 0.00170597
9 0.002217648
9 0.002822864
9 0.003529531
9 0.004345574
9 0.005278924
9 0.006337518
9 0.007529305
10 0.0001583688
10 0.0002743958
10 0.0004367188
10 0.0006531761
10 0.0009316221
10 0.001279926
10 0.00170597
10 0.002217648
10 0.002822864
10 0.003529531
10 0.004345574
10 0.005278924
10 0.006337518
10 0.007529305
11 0.0006737554
11 0.001139677
11 0.001777417
11 0.002612042
11 0.003668199
11 0.004970176
11 0.006541945
11 0.008407198
11 0.01058938
11 0.0131117
11 0.01599716
11 0.01926858
11 0.02294859
11 0.02705966
12 0.0001578125
12 0.004260937
12 0.01972656
12 0.05412969
12 0.1150453
12 0.2100484
12 0.3467141
12 0.5326172
12 0.7753328
12 1.082436
12 1.461502
12 1.920105
12 2.46582
12 3.106223
13 0.0001921875
13 0.005189063
13 0.02402344
13 0.06592031
13 0.1401047
13 0.2558016
13 0.4222359
13 0.6486328
13 0.9442172
13 1.318214
13 1.779848
13 2.338345
13 3.00293
13 3.782827
14 0.0000712411
14 0.003771983
14 0.02388412
14 0.08055079
14 0.1997141
14 0.4123655
14 0.7540635
14 1.264586
14 1.987662
14 2.970759
14 4.264901
14 5.924521
14 8.007332
14 10.57421
15 0.0000890625
15 0.002404688
15 0.01113281
15 0.03054844
15 0.06492656
15 0.1185422
15 0.1956703
15 0.3005859
15 0.4375641
15 0.6108797
15 0.8248078
15 1.083623
15 1.391602
15 1.753017
16 0.00005070617
16 0.002307051
16 0.01361387
16 0.04383051
16 0.1049672
16 0.2108145
16 0.3767159
16 0.6194096
16 0.9569094
16 1.408412
16 1.994219
16 2.735678
16 3.655126
16 4.775842
17 0.00007837015
17 0.002694518
17 0.01395835
17 0.04124453
17 0.09264278
17 0.1767808
17 0.302725
17 0.4799152
17 0.7181187
17 1.027395
17 1.418067
17 1.900703
17 2.486094
17 3.185239
18 0.0002848603
18 0.007862091
18 0.03677234
18 0.1015846
18 0.2169923
18 0.3977753
18 0.6587806
18 1.01491
18 1.481111
18 2.072372
18 2.803717
18 3.6902
18 4.746907
18 5.988946
19 0.0001299459
19 0.00323459
19 0.01441945
19 0.03859396
19 0.08051486
19 0.1448363
19 0.2361352
19 0.3589265
19 0.5176736
19 0.7167959
19 0.9606742
19 1.253655
19 1.600055
19 2.004162
20 0.0003721802
20 0.006334701
20 0.02366442
20 0.05637755
20 0.1078199
20 0.1809449
20 0.2784371
20 0.4027808
20 0.5563031
20 0.7412037
20 0.9595753
20 1.21342
20 1.50466
20 1.835151
