ctry percent
BE 0
DE 4.299478
DNK 24.80608
EE 0.4872422
FI 1.023354
FO 0
FR 0
GB 0
IE 0
LT 4.612056
LV 8.155228
NL 0
NO 0
PL 34.13257
RU 10.19563
SE 12.28837
