ctry percent
BE 0
DE 2.887221
DNK 87.81149
EE 0
FI 0
FO 0
FR 0
GB 0
IE 0
LT 0
LV 0
NL 2.798383
NO 2.167636
PL 0
RU 0
SE 4.335273
