ctry percent
BE 0
DE 21.93111
DNK 43.04096
EE 0.01994946
FI 0.02992419
FO 0
FR 0
GB 0
IE 0
LT 2.733076
LV 3.50113
NL 0
NO 0
PL 22.45644
RU 1.994946
SE 4.292459
