ctry percent
BE 0
DE 26.29185
DNK 61.45499
EE 0
FI 0.05836372
FO 0
FR 0
GB 0
IE 0
LT 0
LV 0
NL 0.02415051
NO 0.4733499
PL 0.6725916
RU 0
SE 11.02471
