ctry percent
BE 0
DE 1.285334
DNK 84.8152
EE 0
FI 0
FO 0
FR 0
GB 0.003369159
IE 0
LT 0
LV 0
NL 8.523972
NO 2.109093
PL 0
RU 0
SE 3.26303
