stock  init_maturity_per_szgroup
0 0
0 0.0061
0 0.0163
0 0.0431
0 0.1091
0 0.2497
0 0.475
0 0.7109
0 0.8699
0 0.9478
0 0.9802
0 0.9926
0 0.9973
0 0.999
1 0
1 0.0001
1 0.0002
1 0.0006
1 0.0015
1 0.0041
1 0.011
1 0.0293
1 0.0759
1 0.1824
1 0.3775
1 0.6225
1 0.8176
1 0.9241
2 0
2 0.0006
2 0.0015
2 0.0041
2 0.011
2 0.0293
2 0.0759
2 0.1824
2 0.3775
2 0.6225
2 0.8176
2 0.9241
2 0.9707
2 0.989
3 0
3 0.0027
3 0.0074
3 0.0198
3 0.0522
3 0.1301
3 0.2891
3 0.525
3 0.7503
3 0.8909
3 0.9569
3 0.9837
3 0.9939
3 0.9978
4 0
4 0
4 0.0001
4 0.0002
4 0.0006
4 0.0015
4 0.0041
4 0.011
4 0.0293
4 0.0759
4 0.1824
4 0.3775
4 0.6225
4 0.8176
5 0
5 0.8176
5 0.9241
5 0.9707
5 0.989
5 0.9959
5 0.9985
5 0.9994
5 0.9998
5 0.9999
5 1
5 1
5 1
5 1
6 0
6 0.3775
6 0.6225
6 0.8176
6 0.9241
6 0.9707
6 0.989
6 0.9959
6 0.9985
6 0.9994
6 0.9998
6 0.9999
6 1
6 1
7 0
7 0.0431
7 0.1091
7 0.2497
7 0.475
7 0.7109
7 0.8699
7 0.9478
7 0.9802
7 0.9926
7 0.9973
7 0.999
7 0.9996
7 0.9999
8 0
8 0.0522
8 0.1301
8 0.2891
8 0.525
8 0.7503
8 0.8909
8 0.9569
8 0.9837
8 0.9939
8 0.9978
8 0.9992
8 0.9997
8 0.9999
9 0
9 0.0522
9 0.1301
9 0.2891
9 0.525
9 0.7503
9 0.8909
9 0.9569
9 0.9837
9 0.9939
9 0.9978
9 0.9992
9 0.9997
9 0.9999
10 0
10 0.0522
10 0.1301
10 0.2891
10 0.525
10 0.7503
10 0.8909
10 0.9569
10 0.9837
10 0.9939
10 0.9978
10 0.9992
10 0.9997
10 0.9999
11 0
11 0.0759
11 0.1824
11 0.3775
11 0.6225
11 0.8176
11 0.9241
11 0.9707
11 0.989
11 0.9959
11 0.9985
11 0.9994
11 0.9998
11 0.9999
12 0
12 0.0759
12 0.1824
12 0.3775
12 0.6225
12 0.8176
12 0.9241
12 0.9707
12 0.989
12 0.9959
12 0.9985
12 0.9994
12 0.9998
12 0.9999
13 0
13 0.0759
13 0.1824
13 0.3775
13 0.6225
13 0.8176
13 0.9241
13 0.9707
13 0.989
13 0.9959
13 0.9985
13 0.9994
13 0.9998
13 0.9999
14 0
14 0.0759
14 0.1824
14 0.3775
14 0.6225
14 0.8176
14 0.9241
14 0.9707
14 0.989
14 0.9959
14 0.9985
14 0.9994
14 0.9998
14 0.9999
15 0
15 0.0522
15 0.1301
15 0.2891
15 0.525
15 0.7503
15 0.8909
15 0.9569
15 0.9837
15 0.9939
15 0.9978
15 0.9992
15 0.9997
15 0.9999
16 0
16 0.0198
16 0.0522
16 0.1301
16 0.2891
16 0.525
16 0.7503
16 0.8909
16 0.9569
16 0.9837
16 0.9939
16 0.9978
16 0.9992
16 0.9997
17 0
17 0.0241
17 0.063
17 0.1545
17 0.3318
17 0.5744
17 0.7858
17 0.9089
17 0.9644
17 0.9866
17 0.995
17 0.9982
17 0.9993
17 0.9998
18 0
18 0.6457
18 0.6682
18 0.69
18 0.7109
18 0.7311
18 0.7503
18 0.7685
18 0.7858
18 0.8022
18 0.8176
18 0.832
18 0.8455
18 0.8581
19 0
19 0.6457
19 0.6682
19 0.69
19 0.7109
19 0.7311
19 0.7503
19 0.7685
19 0.7858
19 0.8022
19 0.8176
19 0.832
19 0.8455
19 0.8581
20 0
20 0.5
20 0.525
20 0.5498
20 0.5744
20 0.5987
20 0.6225
20 0.6457
20 0.6682
20 0.69
20 0.7109
20 0.7311
20 0.7503
20 0.7685
21 0
21 0.246
21 0.47
21 0.7068
21 0.8676
21 0.9468
21 0.9798
21 0.9925
21 0.9972
21 0.999
21 0.9996
21 0.9999
21 0.9999
21 1
22 0
22 0.0293
22 0.0759
22 0.1824
22 0.3775
22 0.6225
22 0.8176
22 0.9241
22 0.9707
22 0.989
22 0.9959
22 0.9985
22 0.9994
22 0.9998
23 0
23 0.0293
23 0.0759
23 0.1824
23 0.3775
23 0.6225
23 0.8176
23 0.9241
23 0.9707
23 0.989
23 0.9959
23 0.9985
23 0.9994
23 0.9998
24 0
24 0.011
24 0.0293
24 0.0759
24 0.1824
24 0.3775
24 0.6225
24 0.8176
24 0.9241
24 0.9707
24 0.989
24 0.9959
24 0.9985
24 0.9994
25 0
25 0.7503
25 0.8909
25 0.9569
25 0.9837
25 0.9939
25 0.9978
25 0.9992
25 0.9997
25 0.9999
25 1
25 1
25 1
25 1
26 0
26 0.2497
26 0.475
26 0.7109
26 0.8699
26 0.9478
26 0.9802
26 0.9926
26 0.9973
26 0.999
26 0.9996
26 0.9999
26 0.9999
26 1
27 0
27 0.0293
27 0.0759
27 0.1824
27 0.3775
27 0.6225
27 0.8176
27 0.9241
27 0.9707
27 0.989
27 0.9959
27 0.9985
27 0.9994
27 0.9998
28 0
28 0.0293
28 0.0759
28 0.1824
28 0.3775
28 0.6225
28 0.8176
28 0.9241
28 0.9707
28 0.989
