0.9998528 0.0001472 0 0 0 0 0 0 0 0 0
0.4764203 0.5235797 0 0 0 0 0 0 0 0 0
0 0.8231601 0.1768399 0 0 0 0 0 0 0 0
0 0.0367688 0.885792 0.0774392 0 0 0 0 0 0 0
0 0 0.1218721 0.8054268 0.0727011 0 0 0 0 0 0
0 0 0.0000221 0.1345538 0.7354636 0.1298501 0.0001104 0 0 0 0
0 0 0 0.0000183 0.070847 0.6116041 0.3115657 0.0059649 0 0 0
0 0 0 0 0 0.0100439 0.3323299 0.5174031 0.1331027 0.0071204 0
0 0 0 0 0 0 0.0000542 0.0531277 0.4171395 0.5296786 0
0 0 0 0 0 0 0 0 0.0025189 0.9974811 0
0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 1
