pt_graph cpue_kghour
1874 0
1874 65.71724259
1874 65.71724259
1874 65.71724259
1874 65.71724259
1874 0
1874 18.80676432
1874 18.238190016
1874 18.238190016
1874 18.238190016
1874 18.238190016
1874 5.312101911
1874 5.312101911
1874 5.312101911
1874 5.312101911
1874 5.312101911
1874 0
1874 9.251065227
1874 0
1874 0
1874 0
1874 0
1874 11.406174525
1874 11.406174525
1874 11.406174525
1874 0
1874 0
1874 3.709459458
1874 3.709459458
1874 0
1874 0
1874 0
1874 0
1874 0
1874 0
1874 43.15068492
1874 69.99999999
1944 0
1944 65.71724259
1944 65.71724259
1944 65.71724259
1944 65.71724259
1944 0
1944 18.80676432
1944 18.238190016
1944 18.238190016
1944 18.238190016
1944 18.238190016
1944 5.312101911
1944 5.312101911
1944 5.312101911
1944 5.312101911
1944 5.312101911
1944 0
1944 9.251065227
1944 0
1944 0
1944 0
1944 0
1944 11.406174525
1944 11.406174525
1944 11.406174525
1944 0
1944 0
1944 3.709459458
1944 3.709459458
1944 0
1944 0
1944 0
1944 0
1944 0
1944 0
1944 43.15068492
1944 69.99999999
2100 0
2100 65.71724259
2100 65.71724259
2100 65.71724259
2100 65.71724259
2100 0
2100 18.80676432
2100 18.238190016
2100 18.238190016
2100 18.238190016
2100 18.238190016
2100 5.312101911
2100 5.312101911
2100 5.312101911
2100 5.312101911
2100 5.312101911
2100 0
2100 9.251065227
2100 0
2100 0
2100 0
2100 0
2100 11.406174525
2100 11.406174525
2100 11.406174525
2100 0
2100 0
2100 3.709459458
2100 3.709459458
2100 0
2100 0
2100 0
2100 0
2100 0
2100 0
2100 43.15068492
2100 69.99999999
2185 0
2185 65.71724259
2185 65.71724259
2185 65.71724259
2185 65.71724259
2185 0
2185 18.80676432
2185 18.238190016
2185 18.238190016
2185 18.238190016
2185 18.238190016
2185 5.312101911
2185 5.312101911
2185 5.312101911
2185 5.312101911
2185 5.312101911
2185 0
2185 9.251065227
2185 0
2185 0
2185 0
2185 0
2185 11.406174525
2185 11.406174525
2185 11.406174525
2185 0
2185 0
2185 3.709459458
2185 3.709459458
2185 0
2185 0
2185 0
2185 0
2185 0
2185 0
2185 43.15068492
2185 69.99999999
2271 0
2271 65.71724259
2271 65.71724259
2271 65.71724259
2271 65.71724259
2271 0
2271 18.80676432
2271 18.238190016
2271 18.238190016
2271 18.238190016
2271 18.238190016
2271 5.312101911
2271 5.312101911
2271 5.312101911
2271 5.312101911
2271 5.312101911
2271 0
2271 9.251065227
2271 0
2271 0
2271 0
2271 0
2271 11.406174525
2271 11.406174525
2271 11.406174525
2271 0
2271 0
2271 3.709459458
2271 3.709459458
2271 0
2271 0
2271 0
2271 0
2271 0
2271 0
2271 43.15068492
2271 69.99999999
2353 0
2353 65.71724259
2353 65.71724259
2353 65.71724259
2353 65.71724259
2353 0
2353 18.80676432
2353 18.238190016
2353 18.238190016
2353 18.238190016
2353 18.238190016
2353 5.312101911
2353 5.312101911
2353 5.312101911
2353 5.312101911
2353 5.312101911
2353 0
2353 9.251065227
2353 0
2353 0
2353 0
2353 0
2353 11.406174525
2353 11.406174525
2353 11.406174525
2353 0
2353 0
2353 3.709459458
2353 3.709459458
2353 0
2353 0
2353 0
2353 0
2353 0
2353 0
2353 43.15068492
2353 69.99999999
2441 0
