vids freq
DEU000030606 0.002626
DEU000030606 0.007317
DEU000030606 0.002877
DEU000030606 0.001222
DEU000030606 0.000984
DEU000030606 0.001922
DEU000030606 0.001423
DEU000030606 0.001353
DEU000030606 0.006204
DEU000030606 0.003401
DEU000030606 0.001917
DEU000030606 0.001937
DEU000030606 0.002157
DEU000030606 0.001392
DEU000030606 0.001962
DEU000030606 0.002542
DEU000030606 0.002387
DEU000030606 0.003674
DEU000030606 0.003664
DEU000030606 0.003194
DEU000030606 0.002828
DEU000030606 0.002850
DEU000030606 0.002003
DEU000030606 0.002338
DEU000030606 0.003443
DEU000030606 0.003241
DEU000030606 0.002715
DEU000030606 0.002726
DEU000030606 0.002099
DEU000030606 0.001940
DEU000030606 0.002027
DEU000030606 0.002749
DEU000030606 0.002302
DEU000030606 0.002490
DEU000030606 0.001443
DEU000030606 0.001391
DEU000030606 0.001393
DEU000030606 0.001082
DEU000030606 0.001021
DEU000030606 0.000974
DEU000030606 0.000291
DEU000030606 0.001191
DEU000030606 0.001286
DEU000030606 0.001491
DEU000030606 0.002353
DEU000030606 0.001099
DEU000030606 0.002133
DEU000030606 0.001924
DEU000030606 0.001980
DEU000030606 0.001013
DEU000030606 0.002392
DEU000030606 0.001897
DEU000030606 0.002669
DEU000030606 0.003272
DEU000030606 0.002817
DEU000030606 0.003300
DEU000030606 0.003134
DEU000030606 0.003577
DEU000030606 0.001992
DEU000030606 0.001346
DEU000030606 0.001263
DEU000030606 0.002193
DEU000030606 0.003446
DEU000030606 0.003331
DEU000030606 0.001499
DEU000030606 0.000025
DEU000030606 0.000673
DEU000030606 0.001238
DEU000030606 0.003684
DEU000030606 0.003715
DEU000030606 0.002306
DEU000030606 0.002396
DEU000030606 0.002394
DEU000030606 0.002588
DEU000030606 0.001665
DEU000030606 0.002025
DEU000030606 0.002953
DEU000030606 0.002203
DEU000030606 0.002498
DEU000030606 0.000650
DEU000030606 0.004291
DEU000030606 0.000228
DEU000030606 0.002015
DEU000030606 0.001174
DEU000030606 0.002093
DEU000030606 0.000877
DEU000030606 0.002222
DEU000030606 0.001621
DEU000030606 0.001813
DEU000030606 0.002059
DEU000030606 0.001795
DEU000030606 0.001982
DEU000030606 0.001645
DEU000030606 0.000895
DEU000030606 0.002101
DEU000030606 0.003325
DEU000030606 0.003960
DEU000030606 0.002666
DEU000030606 0.002534
DEU000030606 0.002380
DEU000030606 0.001747
DEU000030606 0.001107
DEU000030606 0.001093
DEU000030606 0.001231
DEU000030606 0.001627
DEU000030606 0.001331
DEU000030606 0.002578
DEU000030606 0.003131
DEU000030606 0.002041
DEU000030606 0.002214
DEU000030606 0.000904
DEU000030606 0.001852
DEU000030606 0.002570
DEU000030606 0.002128
DEU000030606 0.002409
DEU000030606 0.001537
DEU000030606 0.000433
DEU000030606 0.001350
DEU000030606 0.001963
DEU000030606 0.001927
DEU000030606 0.002350
DEU000030606 0.002127
DEU000030606 0.002006
DEU000030606 0.002448
DEU000030606 0.002004
DEU000030606 0.001607
DEU000030606 0.001534
DEU000030606 0.001530
DEU000030606 0.001492
DEU000030606 0.001020
DEU000030606 0.002544
DEU000030606 0.000110
DEU000030606 0.002076
DEU000030606 0.002670
DEU000030606 0.000967
DEU000030606 0.002971
DEU000030606 0.002098
DEU000030606 0.002599
DEU000030606 0.002302
DEU000030606 0.002730
DEU000030606 0.003053
DEU000030606 0.003767
DEU000030606 0.004006
DEU000030606 0.003564
DEU000030606 0.003316
DEU000030606 0.002104
DEU000030606 0.002463
DEU000030606 0.002293
DEU000030606 0.001955
DEU000030606 0.001245
DEU000030606 0.001164
DEU000030606 0.002185
DEU000030606 0.001806
DEU000030606 0.000067
DEU000030606 0.001598
DEU000030606 0.002610
DEU000030606 0.001048
DEU000030606 0.002167
DEU000030606 0.002630
DEU000030606 0.002288
DEU000030606 0.001857
DEU000030606 0.002408
DEU000030606 0.002407
DEU000030606 0.002923
DEU000030606 0.003680
DEU000030606 0.004353
DEU000030606 0.004433
DEU000030606 0.004468
DEU000030606 0.004542
DEU000030606 0.002768
DEU000030606 0.001552
DEU000030606 0.001775
DEU000030606 0.000930
DEU000030606 0.001419
DEU000030606 0.000944
