VE_REF annual_fishing_credits_per_vid
DEU000030606 993413.571403524
DEU000050617 0.000829926386694497
DEU000100601 0.000829933320139209
DEU000100614 0.000829940253641845
DEU000120400 0.000829947187202405
DEU000120500 0.00082995412082089
DEU000150400 0.000829961054497301
DEU000200602 0.000829967988231638
DEU000200606 0.000829974922023901
DEU000300601 0.000829981855874091
DEU000320601 0.000829988789782209
DEU000340500 0.000829995723748254
DEU000410637 0.000830002657772228
DEU000430612 0.000830009591854131
DEU000560300 0.000830016525993963
DEU000560606 0.000830023460191725
DEU000690602 0.000830030394447417
DEU000930300 0.00083003732876104
DEU001140614 0.000830044263132594
DEU001180300 0.00083005119756208
DEU001270602 0.000830058132049498
DEU001280602 0.000830065066594849
DEU001330300 0.000830072001198133
DEU001560300 0.000830078935859351
DEU002120300 0.000830085870578503
DEU100210210 0.000830092805355589
DEU100310210 0.000830099740190611
DEU100440209 0.000830106675083568
DEU100550210 0.000830113610034461
DEU100640223 0.000830120545043291
DEU101330213 0.000830127480110058
DEU114000300 0.000830134415234762
DEU200040208 0.000830141350417404
DEU200100208 0.000830148285657985
DEU200160201 0.000830155220956505
DEU200700219 0.000830162156312964
DEU200720219 0.000830169091727363
DEU200730219 0.000830176027199703
DEU300200702 0.000830182962729984
DEU300640207 0.000830189898318206
DEU300670207 0.00083019683396437
DEU300720207 0.000830203769668477
DEU301850204 0.000830210705430526
DEU301880204 0.000830217641250519
DEU302530207 0.000830224577128456
DEU302610207 0.000830231513064337
DEU400030109 0.000830238449058163
DEU400390107 0.000830245385109934
DEU400660101 0.000830252321219651
DEU500140105 0.000830259257387314
DEU500260105 0.000830266193612924
DEU500390102 0.000830273129896481
DEU500410102 0.000830280066237986
DEU500440102 0.000830287002637439
DEU500480102 0.000830293939094841
DEU500650110 0.000830300875610192
DEU500790123 0.000830307812183492
DEUDE4AVGNS 0.000830314748814743
DEUDE7B6GNS 0.000830321685503944
DEUDE8ANGNS 0.000830328622251096
DEUDEAHCGNS 0.0008303355590562
DEUDEBA1GNS 0.000830342495919256
DEUDEBA2GNS 0.000830349432840265
DEUDEBBHGNS 0.000830356369819227
DEUDEBG8GNS 0.000830363306856142
DEUDEBSKGNS 0.000830370243951011
DEUDEBZRGNS 0.000830377181103835
DEUDEDAPGNS 0.000830384118314614
DEUDEDIAGNS 0.000830391055583348
DEUDEDRAGNS 0.000830397992910038
DEUDEECKGNS 0.000830404930294684
DEUDEFLFGNS 0.000830411867737287
DEUDEGLYGNS 0.000830418805237848
DEUDEGRDGNS 0.000830425742796367
DEUDEGROGNS 0.000830432680412844
DEUDEGXGGNS 0.00083043961808728
DEUDEHDFGNS 0.000830446555819675
DEUDEHEDGNS 0.00083045349361003
DEUDEHHFGNS 0.000830460431458345
DEUDEHTUGNS 0.000830467369364621
DEUDEKA1GNS 0.000830474307328858
DEUDEKA2GNS 0.000830481245351057
DEUDEKAPGNS 0.000830488183431218
DEUDEKDMGNS 0.000830495121569342
DEUDEKELGNS 0.000830502059765429
DEUDEKLPGNS 0.00083050899801948
DEUDEKSLGNS 0.000830515936331495
DEUDEKSWGNS 0.000830522874701475
DEUDEKZRGNS 0.00083052981312942
DEUDELABGNS 0.000830536751615331
DEUDELAUGNS 0.000830543690159208
DEUDELPPGNS 0.000830550628761051
DEUDELSAGNS 0.000830557567420861
DEUDELZWGNS 0.000830564506138639
DEUDEMAOGNS 0.000830571444914385
DEUDEMKBGNS 0.0008305783837481
DEUDEMVDGNS 0.000830585322639784
DEUDEND1GNS 0.000830592261589437
DEUDENDTGNS 0.00083059920059706
DEUDENHOGNS 0.000830606139662654
DEUDENOZGNS 0.000830613078786219
DEUDEORDGNS 0.000830620017967755
DEUDEORTGNS 0.000830626957207263
DEUDEPRNGNS 0.000830633896504743
DEUDEPUTGNS 0.000830640835860196
DEUDERKZGNS 0.000830647775273622
DEUDERREGNS 0.000830654714745022
DEUDERZDGNS 0.000830661654274397
DEUDESASGNS 0.000830668593861747
DEUDESH2GNS 0.000830675533507072
DEUDESHYGNS 0.000830682473210373
DEUDESTDGNS 0.00083068941297165
DEUDESTLGNS 0.000830696352790904
DEUDETAZGNS 0.000830703292668135
DEUDETS2GNS 0.000830710232603344
DEUDEUCKGNS 0.000830717172596531
DEUDEUECGNS 0.000830724112647697
DEUDEUMZGNS 0.000830731052756842
DEUDEUSDGNS 0.000830737992923967
DEUDEVIAGNS 0.000830744933149072
DEUDEWA1GNS 0.000830751873432157
DEUDEWARGNS 0.000830758813773224
DEUDEWAYGNS 0.000830765754172272
DEUDEWE1GNS 0.000830772694629302
DEUDEWISGNS 0.000830779635144315
DEUDEWOLGNS 0.000830786575717311
DEUDEZINGNS 0.00083079351634829
DEUDEZISGNS 0.000830800457037253
DEUDKSAGGNS 0.000830807397784201
DEUPLELBGNS 0.000830814338589134
DNK000000569 0.000830821279452052
DNK000003300 0.000830828220372956
DNK000004343 0.000830835161351847
DNK000004561 0.000830842102388725
DNK000004838 0.00083084904348359
DNK000004873 0.000830855984636443
DNK000005011 0.000830862925847285
DNK000005016 0.000830869867116115
DNK000005142 0.000830876808442935
DNK000005269 0.000830883749827745
DNK000005418 0.000830890691270545
DNK000005463 0.000830897632771336
DNK000005649 0.000830904574330118
DNK000006040 0.000830911515946892
DNK000006110 0.000830918457621658
DNK000006225 0.000830925399354417
DNK000006238 0.000830932341145169
DNK000006282 0.000830939282993915
DNK000006577 0.000830946224900655
DNK000006581 0.00083095316686539
DNK000006764 0.00083096010888812
DNK000006974 0.000830967050968846
DNK000007009 0.000830973993107568
DNK000007107 0.000830980935304286
DNK000007125 0.000830987877559002
DNK000007141 0.000830994819871715
DNK000007142 0.000831001762242426
DNK000007220 0.000831008704671136
DNK000007234 0.000831015647157845
DNK000007263 0.000831022589702553
DNK000007293 0.000831029532305261
DNK000007305 0.00083103647496597
DNK000007380 0.00083104341768468
DNK000007407 0.000831050360461391
DNK000007408 0.000831057303296104
DNK000007452 0.00083106424618882
DNK000007477 0.000831071189139539
DNK000007519 0.000831078132148261
DNK000007602 0.000831085075214987
DNK000007718 0.000831092018339717
DNK000007747 0.000831098961522452
DNK000008024 0.000831105904763193
DNK000008057 0.00083111284806194
DNK000008152 0.000831119791418693
DNK000008259 0.000831126734833453
DNK000008285 0.00083113367830622
DNK000008303 0.000831140621836995
DNK000008396 0.000831147565425778
DNK000008438 0.00083115450907257
DNK000008458 0.000831161452777371
DNK000008497 0.000831168396540182
DNK000008538 0.000831175340361003
DNK000008642 0.000831182284239834
DNK000010670 0.000831189228176677
DNK000010804 0.000831196172171531
DNK000010823 0.000831203116224398
DNK000010987 0.000831210060335277
DNK000011391 0.000831217004504169
DNK000011447 0.000831223948731075
DNK000011752 0.000831230893015995
DNK000011755 0.000831237837358929
DNK000011783 0.000831244781759879
DNK000011784 0.000831251726218844
DNK000011899 0.000831258670735825
DNK000011985 0.000831265615310823
DNK000011989 0.000831272559943838
DNK000012025 0.00083127950463487
DNK000012209 0.00083128644938392
DNK000012227 0.000831293394190988
DNK000012289 0.000831300339056075
DNK000012304 0.000831307283979182
DNK000012310 0.000831314228960309
DNK000012321 0.000831321173999456
DNK000012360 0.000831328119096624
DNK000012455 0.000831335064251813
DNK000012485 0.000831342009465024
DNK000012527 0.000831348954736257
DNK000012574 0.000831355900065513
DNK000012749 0.000831362845452792
DNK000012760 0.000831369790898095
DNK000012775 0.000831376736401422
DNK000012807 0.000831383681962774
DNK000012832 0.000831390627582151
DNK000012932 0.000831397573259554
DNK000013000 0.000831404518994983
DNK000013055 0.000831411464788439
DNK000013170 0.000831418410639922
DNK000013404 0.000831425356549433
DNK000013480 0.000831432302516972
DNK000013581 0.00083143924854254
DNK000013590 0.000831446194626137
DNK000013667 0.000831453140767763
DNK000013673 0.000831460086967419
DNK000013689 0.000831467033225106
DNK000013694 0.000831473979540824
DNK000013750 0.000831480925914573
DNK000013772 0.000831487872346354
