LE_MET_level6 mapped_stk_code
0 0
0 52
0 65
0 54
0 64
0 53
0 51
1 31
1 43
1 54
1 61
1 51
1 42
1 32
1 33
1 41
1 35
1 45
2 31
2 43
2 54
2 61
2 51
2 42
2 32
2 33
2 41
2 35
2 45
3 31
3 43
3 54
3 61
3 51
3 42
3 32
3 33
3 41
3 35
3 45
4 31
4 43
4 54
4 61
4 51
4 42
4 32
4 33
4 41
4 35
4 45
5 31
5 43
5 54
5 61
5 51
5 42
5 32
5 33
5 41
5 35
5 45
6 31
6 43
6 54
6 61
6 51
6 42
6 32
6 33
6 41
6 35
6 45
7 31
7 43
7 54
7 61
7 51
7 42
7 32
7 33
7 41
7 35
7 45
8 31
8 43
8 54
8 61
8 51
8 42
8 32
8 33
8 41
8 35
8 45
9 31
9 43
9 54
9 61
9 51
9 42
9 32
9 33
9 41
9 35
9 45
10 0
10 52
10 65
10 54
10 64
10 53
10 51
11 0
11 52
11 31
11 65
11 43
11 54
11 64
11 53
11 61
11 51
11 42
11 32
11 33
11 41
11 35
11 45
12 0
12 52
12 31
12 65
12 43
12 54
12 64
12 53
12 61
12 51
12 42
12 32
12 33
12 41
12 35
12 45
13 0
13 52
13 31
13 65
13 43
13 54
13 64
13 53
13 61
13 51
13 42
13 32
13 33
13 41
13 35
13 45
14 0
14 52
14 31
14 65
14 43
14 54
14 64
14 53
14 61
14 51
14 42
14 32
14 33
14 41
14 35
14 45
15 0
15 52
15 31
15 65
15 43
15 54
15 64
15 53
15 61
15 51
15 42
15 32
15 33
15 41
15 35
15 45
16 31
16 43
16 54
16 61
16 51
16 42
16 32
16 33
16 41
16 35
16 45
17 0
17 52
17 31
17 65
17 43
17 54
17 64
17 53
17 61
17 51
17 42
17 32
17 33
17 41
17 35
17 45
18 0
18 52
18 31
18 65
18 43
18 54
18 64
18 53
18 61
18 51
18 42
18 32
18 33
18 41
18 35
18 45
