pt_graph abundance
10368 0.0030303
10369 0
10369 0
10369 0.00028584
10369 0.0030303
10370 0
10370 0
10370 0.00028584
10370 0.0030303
10371 0
10371 0
10371 0.00028584
10371 0.0030303
10372 0
10372 0
10372 0.00028584
10372 0.0030303
10373 0
10373 0
10373 0.00075139
10373 0.0030303
10374 0
10374 0
10374 0.00075139
10374 0.0030303
10375 0
10375 0
10375 0.00075139
10375 0.0030303
10376 0
10376 0
10376 0.00075139
10376 0.0030303
10377 0
10377 0
10377 0.00028584
10377 0.0030303
10378 0
10378 0
10378 0.00028584
10378 0.0030303
10379 0
10379 0
10379 0.00028584
10379 0.0030303
10380 0
10380 0
10380 0.00028584
10380 0.0030303
10381 0
10381 0
10381 0.00028584
10381 0.00087719
10382 0
10382 0
10382 0.00028584
10382 0.00087719
10383 0
10383 0
10383 0.00014043
10383 0.00087719
10384 0
10384 0
10384 0.00014043
10384 0
10385 0
10385 0
10385 0.00014043
10385 0
10386 0
10386 0
10386 0.00014043
10386 0
10387 0
10387 0
10387 0.00001311
10387 0
10388 0
10388 0
10388 0.00001311
10388 0
10389 0
10389 0
10389 0.00001311
10389 0
10490 0.00046083
10490 0.00046083
10490 0.00014043
10490 0.00087719
10491 0
10491 0
10491 0.00014043
10491 0.00087719
10492 0
10492 0
10492 0.00028584
10492 0.0030303
10493 0
10493 0
10493 0.00028584
10493 0.0030303
10494 0
10494 0
10494 0.00075139
10494 0.00545455
10495 0
10495 0
10495 0.00075139
10495 0.00545455
10496 0
10496 0
10496 0.00075139
10496 0.00545455
10497 0
10497 0
10497 0.00075139
10497 0.00545455
10498 0
10498 0
10498 0.00075139
10498 0.00545455
10499 0
10499 0
10499 0.00075139
10499 0.00545455
10500 0
10500 0
10500 0.00075139
10500 0.00545455
10501 0
10501 0
10501 0.00075139
10501 0.00545455
10502 0
10502 0
10502 0.00075139
10502 0.00545455
10503 0
10503 0
10503 0.00075139
10503 0.00545455
10504 0
10504 0
10504 0.00075139
10504 0.0030303
10505 0
10505 0
10505 0.00075139
10505 0.0030303
10506 0
10506 0
10506 0.00028584
10506 0.0030303
10507 0
10507 0
10507 0.00028584
10507 0.00087719
10508 0
10508 0
10508 0.00028584
10508 0.00087719
10509 0
10509 0
10509 0.00028584
10509 0
10510 0
10510 0
10510 0.00014043
10510 0
10511 0
10511 0
10511 0.00014043
10511 0
10512 0
10512 0
10512 0.00014043
10512 0
10513 0
10513 0
10513 0.00014043
10513 0
10514 0
10514 0
10514 0.00001311
10514 0
10515 0
10515 0
10515 0.00001311
10515 0
10612 0.00046083
10612 0.00046083
10612 0.00014043
10612 0.00087719
10613 0.00046083
10613 0.00046083
10613 0.00028584
10613 0.0030303
10614 0.00046083
10614 0.00046083
10614 0.00028584
10614 0.0030303
10615 0
10615 0
10615 0.00075139
10615 0.00545455
10616 0
10616 0
10616 0.0041625
10616 0.00545455
10617 0
10617 0
10617 0.0041625
10617 0.00545455
10618 0
10618 0
10618 0.0041625
10618 0.00545455
10619 0
10619 0
10619 0.0041625
10619 0.00545455
10620 0
10620 0
10620 0.0041625
10620 0.00545455
10621 0
10621 0
10621 0.0041625
10621 0.00545455
10622 0
10622 0
10622 0.0041625
10622 0.00545455
10623 0
10623 0
10623 0.0041625
10623 0.00545455
10624 0
10624 0
10624 0.0041625
10624 0.00545455
10625 0
10625 0
10625 0.0041625
10625 0.00545455
10626 0
10626 0
10626 0.00075139
10626 0.00545455
10627 0
10627 0
10627 0.00075139
10627 0.00545455
10628 0
10628 0
10628 0.00075139
10628 0.0030303
10629 0
10629 0
10629 0.00075139
10629 0.0030303
10630 0
10630 0
10630 0.00028584
10630 0.00087719
10631 0
10631 0
10631 0.00028584
10631 0.00087719
10632 0
10632 0
10632 0.00028584
10632 0
10633 0
10633 0
10633 0.00014043
10633 0
10634 0
10634 0
10634 0.00014043
10634 0
10635 0
10635 0
10635 0.00014043
10635 0
10636 0
10636 0
10636 0.00001311
10636 0
10637 0
10637 0
10637 0.00001311
10637 0
10638 0
10638 0
10638 0.00001311
10638 0
10730 0.00046083
10730 0.00046083
10730 0.00028584
10730 0.00087719
10731 0.00046083
10731 0.00046083
10731 0.00028584
10731 0.0030303
10732 0.00046083
10732 0.00046083
10732 0.00075139
10732 0.00545455
10733 0.00046083
10733 0.00046083
10733 0.0041625
10733 0.00545455
10734 0.00046083
10734 0.00046083
10734 0.0041625
10734 0.02222222
10735 0
10735 0
10735 0.0041625
10735 0.02222222
10736 0
10736 0
10736 0.0041625
10736 0.02222222
10737 0
10737 0
10737 0.0041625
10737 0.02222222
10738 0
10738 0
10738 0.03596404
10738 0.02222222
10739 0
10739 0
10739 0.03596404
10739 0.02222222
10740 0
10740 0
10740 0.03596404
10740 0.02222222
10741 0
10741 0
10741 0.03596404
10741 0.02222222
10742 0
10742 0
10742 0.0041625
10742 0.02222222
10743 0
10743 0
10743 0.0041625
10743 0.00545455
10744 0
10744 0
10744 0.0041625
10744 0.00545455
10745 0
10745 0
10745 0.0041625
10745 0.00545455
10746 0
10746 0
10746 0.0041625
10746 0.00545455
10747 0
10747 0
10747 0.00075139
10747 0.0030303
10748 0
10748 0
10748 0.00075139
10748 0.00087719
10749 0
10749 0
10749 0.00028584
10749 0.00087719
10750 0
10750 0
10750 0.00028584
10750 0
10751 0
10751 0
10751 0.00028584
10751 0
10752 0
10752 0
10752 0.00014043
10752 0
10753 0
10753 0
10753 0.00014043
10753 0
10754 0
10754 0
10754 0.00014043
10754 0
10755 0
10755 0
10755 0.00001311
10755 0
10756 0
10756 0
10756 0.00001311
10756 0
10757 0
10757 0
10757 0.00001311
10757 0
10851 0.00046083
10851 0.00046083
10851 0.00028584
10851 0.00087719
10852 0.00046083
10852 0.00046083
10852 0.00075139
10852 0.0030303
10853 0.00046083
10853 0.00046083
10853 0.00075139
10853 0.00545455
10854 0.00046083
10854 0.00046083
10854 0.0041625
10854 0.00545455
10855 0.00046083
10855 0.00046083
10855 0.0041625
