pt_graph coeff
0 0.5
0 0.5
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
0 0.05
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1853 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1922 0.5
1923 0.05
1923 0.05
1923 0.05
1923 0.05
1923 0.05
1923 0.05
1923 0.05
1923 0.05
1923 0.05
1923 0.5
1923 0.5
1923 0.5
1923 0.5
1923 0.5
1990 0.05
1990 0.05
1990 0.05
1990 0.05
1990 0.05
1990 0.05
1990 0.05
1990 0.05
1990 0.05
1990 0.5
1990 0.5
1990 0.5
1990 0.5
1990 0.5
1991 0.05
1991 0.05
1991 0.05
1991 0.05
1991 0.05
1991 0.05
1991 0.05
1991 0.05
1991 0.05
1991 0.5
1991 0.5
1991 0.5
1991 0.5
1991 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2053 0.5
2054 0.05
2054 0.05
2054 0.05
2054 0.05
2054 0.05
2054 0.05
2054 0.05
2054 0.05
2054 0.05
2054 0.5
2054 0.5
2054 0.5
2054 0.5
2054 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2115 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2116 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2117 0.5
2118 0.05
2118 0.05
2118 0.05
2118 0.05
2118 0.05
2118 0.05
2118 0.05
2118 0.05
2118 0.05
2118 0.5
2118 0.5
2118 0.5
2118 0.5
2118 0.5
2119 0.05
2119 0.05
2119 0.05
2119 0.05
2119 0.05
2119 0.05
2119 0.05
2119 0.05
2119 0.05
2119 0.5
2119 0.5
2119 0.5
2119 0.5
2119 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2173 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2174 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2175 0.5
2176 0.05
2176 0.05
2176 0.05
2176 0.05
2176 0.05
2176 0.05
2176 0.05
2176 0.05
2176 0.05
2176 0.5
2176 0.5
2176 0.5
2176 0.5
2176 0.5
2177 0.05
2177 0.05
2177 0.05
2177 0.05
2177 0.05
2177 0.05
2177 0.05
2177 0.05
2177 0.05
2177 0.5
2177 0.5
2177 0.5
2177 0.5
2177 0.5
2178 0.05
2178 0.05
2178 0.05
2178 0.05
2178 0.05
2178 0.05
2178 0.05
2178 0.05
2178 0.05
2178 0.5
2178 0.5
2178 0.5
2178 0.5
2178 0.5
2179 0.05
2179 0.05
2179 0.05
2179 0.05
2179 0.05
2179 0.05
2179 0.05
2179 0.05
2179 0.05
