idx_node size_km2
372 0
373 0
437 0
438 0
439 0
510 0
511 0
512 0
987 0
1463 0
1527 0
1659 0
1720 0
1778 0
1916 0
2166 0
2586 0
2587 0
2639 0
2640 0
2690 0
2691 0
2742 0
3342 0
3410 0
