port_name;lon;lat;idx_port
DKASF;9.8999;55.2702000009;87
DKBGO;9.8081;55.3143000009;88
DKBAG;10.6734;54.7497000009;89
DKBAQ;10.385;55.4898000009;90
DKBRF;10.4726;55.0428000009;91
DKBDX;11.4858;54.8365000009;92
DKBRI;9.9058;55.4909000009;93
DKBAO;11.3916;55.1988000009;94
DKBEG;10.5101;56.1801000009;95
DKBIH;10.4993;54.9276000009;96
DKBIS;11.497;55.2067000009;97
DKBJE;9.609;55.4300000009;98
DKBKH;9.5917;57.2510000009;99
DKBGZ;10.0943;55.5638000009;100
DKBGK;9.7499;55.6252000009;101
DKBOG;12.0507;54.9154000009;102
DKBOS;10.1064;55.1049000009;103
DKBLH;15.0759;55.1542000009;104
DKBNP;10.7124;56.5337000009;105
DKBRC;12.4392;54.9952000009;106
DKBDL;9.605;55.7196000009;107
DKBGN;10.5954;55.4706000009;108
DKBRJ;9.6737;55.6628000009;109
DKBSH;9.9995;55.2015000009;110
DKCHR;15.1871;55.3205000009;111
DKDSG;9.5775;54.8936000009;112
DKDOV;8.4681;56.7216000009;113
DKDRA;12.6704;55.5938000009;114
DKDRJ;9.558;55.4978000009;115
DKDYR;10.2049;55.0709000009;116
DKEBT;10.6779;56.1998000009;117
DKEND;9.6052;54.9050000009;118
DKEJB;11.8382;55.6902000009;119
DKEJE;8.9013;56.9232000009;120
DKERR;11.4964;54.6684000009;121
DKESP;12.56;55.9929000009;122
DKFAE;9.691186;55.4883980009;123
DKFAK;12.1675;55.2193000009;124
DKFAL;10.1534;55.1477000009;125
DKFEJ;11.3772;54.9380000009;126
DKFMO;11.4159;54.9420000009;127
DKFJL;10.3812;55.0599000009;128
DKFJP;10.5885;56.5124000009;129
DKFLA;8.7945;56.8891000009;130
DKFNV;9.8033;55.4235000009;131
DKFSK;9.7183;55.4677000009;132
DKFRC;9.7591;55.5664000009;133
DKFDH;10.5363;57.4397000009;134
DKFRL;11.7638;54.7023000009;135
DKFYH;9.9789;54.9861000009;136
DKGAB;10.572242;55.5177620009;137
DKGLA;9.670715;55.4695130009;138
DKGED;11.9289;54.5764000009;139
DKGEV;12.0132;55.8216000009;140
DKGER;11.9772;55.7161470009;141
DKGLE;12.3087;56.1234000009;142
DKGJL;9.7108;57.0672000009;143
DKGLP;9.850713;56.5851020009;144
DKGLY;8.8715;56.7570000009;145
DKGRA;9.5919;54.9212000009;146
DKGRU;8.5049;56.6665000009;147
DKGRE;10.9266;56.4160000009;148
DKGRO;12.1193;54.8855000009;149
DKGDM;14.9731;55.2067000009;150
DKGDB;11.7406;54.8682000009;151
DKGUS;11.6126;55.7800000009;152
DKGYL;8.7121;56.5805000009;153
DKHAD;9.488;55.2505000009;154
DKHSU;10.1159;56.7151000009;155
DKHHV;14.7574;55.2780000009;156
DKHAE;11.5709;54.6585000009;157
DKHAN;8.6066;57.1160000009;158
DKHBB;12.1454;54.8836000009;159
DKHDH;9.6943;55.0092000009;160
DKHAI;8.8982;56.7021000009;161
DKHSL;14.7066;55.1831000009;162
DKHSO;11.887;54.7242000009;163
DKHVN;11.3366;55.7501000009;164
DKHJL;9.5999;55.3708000009;165
DKHLL;8.3393;56.6994000009;166
DKHLN;10.0365;55.1327000009;167
DKHLS;12.6133;56.0335000009;168
DKHES;12.1347;54.8234000009;169
DKHIR;9.96;57.5885000009;170
DKHJK;9.322;56.5313000009;171
DKHJO;10.485849;54.9632280009;172
DKHBO;9.7947;56.6383000009;173
DKHON;12.4557;56.0900000009;174
DKHNE;10.1671;55.1094000009;175
DKHOR;9.8432;55.8621000009;176
DKHRH;9.8925;54.9105000009;177
DKHOU;10.256571;55.9127030009;178
DKHOH;10.3669;57.0598000009;179
DKHWA;10.9555;55.1474000009;180
DKHVJ;10.2542;55.9135000009;181
DKHVE;11.611;54.6598000009;182
DKHVR;8.833008;57.0078420009;183
DKHBA;12.5339;55.9615000009;184
DKHMM;8.551;56.5397000009;185
DKHUN;11.8531;55.9585000009;186
DKHVA;9.2073;56.7009000009;187
DKJGP;11.9854;55.8552000009;188
DKJEG;8.6357;56.6517000009;189
DKJUE;10.0144;55.7136000009;190
DKJUL;9.67209;56.1206780009;191
DKJSF;8.7145;56.3689000009;192
DKJYL;12.1099;55.7510000009;193
DKLAK;10.4811;56.2828000009;194
DKKAV;12.1614;54.9966000009;195
DKKVO;9.465308;55.1177960009;196
DKKBK;11.6464;55.1779000009;197
DKKTP;12.6544;55.6359000009;198
DKKTD;10.6601;55.4507000009;199
DKKET;9.8991;54.9668000009;200
DKKIN;12.1106;55.0453000009;201
DKKBG;10.452239;55.4781820009;202
DKKLH;12.4704;54.9534000009;203
DKKLM;8.494;57.0399000009;204
DKKLV;11.8253;54.8194000009;205
DKKNB;10.4868;56.2133000009;206
DKKNU;9.601021;55.3289490009;207
DKCPH;12.5693;55.6763000009;208
DKKOG;12.182;55.4554000009;209
DKKOL;9.4734;55.4864000009;210
DKKOS;9.254265;57.1408970009;211
DKKNG;10.5206;56.1486000009;212
DKKHA;10.315;55.0124000009;213
DKKHF;10.6137;55.6092000009;214
DKKRR;11.1436;55.3295000009;215
DKKRA;11.3557;54.9156000009;216
DKKRZ;11.2636;54.7037000009;217
DKKUL;11.9137;55.9270000009;218
DKLNG;11.0199;54.8139000009;219
DKLNR;10.6428;55.9117000009;220
DKLIL;8.9639;57.1507000009;221
DKLID;15.110328;55.1459330009;222
DKLGR;9.2525;56.9663000009;223
DKLOH;10.9042;55.1340000009;224
DKLKK;9.7159;57.3704000009;225
DKLNS;9.7972;57.4727000009;226
DKLUD;12.3013;55.2418000009;227
DKLUN;10.7827;55.1396000009;228
DKLNH;11.5182;54.6473000009;229
DKLYS;11.8649;55.9426000009;230
DKMRS;10.5212;54.8544000009;231
DKMRH;10.5668;55.9458000009;232
DKMEL;14.9809;55.2008000009;233
DKMID;9.7417;55.5030000009;234
DKMIV;10.6157;55.5130000009;235
DKMOM;10.0395;54.9261000009;236
DKMOS;12.2849;55.5666000009;237
DKMOO;9.781265;56.0375270009;238
DKMOU;10.2254;56.9667000009;239
DKNVD;11.7543;55.2315000009;240
DKNAK;11.1359;54.8330000009;241
DKNAM;10.494347;56.2769110009;242
DKNED;11.99913;55.8560460009;243
DKNEX;15.1349;55.0641000009;244
DKNIB;9.6393;56.9824000009;245
DKNOH;11.8508;55.7560000009;246
DKNRY;9.746;57.4112000009;247
DKNQR;11.527405;54.9807660009;248
DKNRS;9.9032;57.0697000009;249
DKNOO;8.608818;57.0313900009;250
DKNOR;10.2607;56.0239000009;251
DKNBG;10.7924;55.3112000009;252
DKNYF;11.8679;54.7693000009;253
DKNYO;12.1955;55.0415000009;254
DKNTD;11.7298;54.6672000009;255
DKODN;11.3684;55.9717000009;256
DKODO;8.5421;56.5824000009;257
DKODS;8.5648;56.5732000009;258
DKODE;10.3909;55.3961000009;259
DKOMM;10.488;54.8723000009;260
DKOMO;11.1592;55.1707000009;261
DKONS;11.1101;54.9470000009;262
