DEU000030606|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.8
DEU000050617|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|12.64
DEU000100601|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|62.22
DEU000100614|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|12.51
DEU000120400|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|33.34
DEU000120500|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|19.09
DEU000150400|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.71
DEU000200602|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.6
DEU000200606|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|18.43
DEU000300601|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|116.7
DEU000320601|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|90.66
DEU000340500|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|21.65
DEU000410637|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|12.21
DEU000430612|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|12.37
DEU000560300|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.15
DEU000560606|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.1
DEU000690602|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|26.45
DEU000930300|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|15.56
DEU001140614|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.75
DEU001180300|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.12
DEU001270602|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.35
DEU001280602|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|12.01
DEU001330300|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|18.2
DEU001560300|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.98
DEU002120300|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|80.35
DEU100210210|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.65
DEU100310210|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.28
DEU100440209|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.56
DEU100550210|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|18.29
DEU100640223|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.88
DEU101330213|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.72
DEU114000300|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|81.32
DEU200040208|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.52
DEU200100208|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|17.18
DEU200160201|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.33
DEU200700219|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|22.85
DEU200720219|2|4790|5|27.9|58.7|1500|26|2000|2800|150000|4|4|4|14.42
