stock price_per_cat
0 0.96
0 1.3
0 1.3
1 1.43
1 2.77
1 3.65
2 1.17
2 1.91
2 2.11
3 0.92
3 1.38
3 2.17
4 1.76
4 2.99
4 3.78
5 1.25
5 2.63
5 3.7
6 0.35
6 1.94
6 1.94
7 1.01
7 1.01
7 1.09
8 0.96
8 1.3
8 1.3
9 0.96
9 1.3
9 1.3
10 0.96
10 1.3
10 1.3
11 0.19
11 0.43
11 0.59
12 0.38
12 0.53
12 0.44
13 0.38
13 0.53
13 0.44
14 0.38
14 0.53
14 0.44
15 0.12
15 0.43
15 1.03
16 2.94
16 3.23
16 7.35
17 1.45
17 1.7
17 1.92
18 0.34
18 0.34
18 0.34
19 0.19
19 0.28
19 0.31
20 0.63
20 4.89
20 8.87
21 0.21
21 0.21
21 0.21
22 1.13
22 1.3
22 1.3
23 0.67
23 1
23 1.09
24 1.03
24 1.35
24 1.6
25 7.7
25 15.1
25 15.1
26 0.23
26 0.23
26 0.23
27 7.26
27 8.88
27 13.4
28 7.31
28 9.95
28 15.13
29 0.39
29 0.39
29 0.39
30 0.44
30 0.44
30 0.44
31 0.23
31 0.23
31 0.23
32 5.34
32 5.34
32 7.23
33 0.59
33 0.64
33 0.79
34 0.59
34 0.64
34 0.79
35 0
35 0
35 0
36 0
36 0
36 0
