LE_MET_level6 mls
0 0
0 0
0 7
0 7
0 6
0 0
0 4
0 5
0 5
0 5
0 5
0 4
0 4
0 4
0 0
0 0
0 5
0 0
0 0
0 0
0 3
0 0
0 6
0 5
0 0
0 1
0 0
0 5
0 0
0 0
0 0
0 0
0 6
0 5
0 5
0 0
0 0
1 0
1 0
1 7
1 7
1 6
1 0
1 4
1 5
1 5
1 5
1 5
1 4
1 4
1 4
1 0
1 0
1 5
1 0
1 0
1 0
1 3
1 0
1 6
1 5
1 0
1 1
1 0
1 5
1 0
1 0
1 0
1 0
1 6
1 5
1 5
1 0
1 0
2 0
2 0
2 7
2 7
2 6
2 0
2 4
2 5
2 5
2 5
2 5
2 4
2 4
2 4
2 0
2 0
2 5
2 0
2 0
2 0
2 3
2 0
2 6
2 5
2 0
2 1
2 0
2 5
2 0
2 0
2 0
2 0
2 6
2 5
2 5
2 0
2 0
3 0
3 0
3 7
3 7
3 6
3 0
3 4
3 5
3 5
3 5
3 5
3 4
3 4
3 4
3 0
3 0
3 5
3 0
3 0
3 0
3 3
3 0
3 6
3 5
3 0
3 1
3 0
3 5
3 0
3 0
3 0
3 0
3 6
3 5
3 5
3 0
3 0
4 0
4 0
4 7
4 7
4 6
4 0
4 4
4 5
4 5
4 5
4 5
4 4
4 4
4 4
4 0
4 0
4 5
4 0
4 0
4 0
4 3
4 0
4 6
4 5
4 0
4 1
4 0
4 5
4 0
4 0
4 0
4 0
4 6
4 5
4 5
4 0
4 0
5 0
5 0
5 7
5 7
5 6
5 0
5 4
5 5
5 5
5 5
5 5
5 4
5 4
5 4
5 0
5 0
5 5
5 0
5 0
5 0
5 3
5 0
5 6
5 5
5 0
5 1
5 0
5 5
5 0
5 0
5 0
5 0
5 6
5 5
5 5
5 0
5 0
6 0
6 0
6 7
6 7
6 6
6 0
6 4
6 5
6 5
6 5
6 5
6 4
6 4
6 4
6 0
6 0
6 5
6 0
6 0
6 0
6 3
6 0
6 6
6 5
6 0
6 1
6 0
6 5
6 0
6 0
6 0
6 0
6 6
6 5
6 5
6 0
6 0
7 0
7 0
7 7
7 7
7 6
7 0
7 4
7 5
7 5
7 5
7 5
7 4
7 4
7 4
7 0
7 0
7 5
7 0
7 0
7 0
7 3
7 0
7 6
7 5
7 0
7 1
7 0
7 5
7 0
7 0
7 0
7 0
7 6
7 5
7 5
7 0
7 0
8 0
8 0
8 7
8 7
8 6
8 0
8 4
8 5
8 5
8 5
8 5
8 4
8 4
8 4
8 0
8 0
8 5
8 0
8 0
8 0
8 3
8 0
8 6
8 5
8 0
8 1
8 0
8 5
8 0
8 0
8 0
8 0
8 6
8 5
8 5
8 0
8 0
9 0
9 0
9 7
