landscape loss_after_one_passage
0 -2.63333333333333
0 -2.63333333333333
0 -2.63333333333333
0 -2.63333333333333
31 -2.63333333333333
31 -2.63333333333333
31 -2.63333333333333
31 -2.63333333333333
32 -2.63333333333333
32 -2.63333333333333
32 -2.63333333333333
32 -2.63333333333333
33 -2.63333333333333
33 -2.63333333333333
33 -2.63333333333333
33 -2.63333333333333
35 -2.63333333333333
35 -2.63333333333333
35 -2.63333333333333
35 -2.63333333333333
41 -2.63333333333333
41 -2.63333333333333
41 -2.63333333333333
41 -2.63333333333333
42 -2.63333333333333
42 -2.63333333333333
42 -2.63333333333333
42 -2.63333333333333
43 -2.63333333333333
43 -2.63333333333333
43 -2.63333333333333
43 -2.63333333333333
45 -2.63333333333333
45 -2.63333333333333
45 -2.63333333333333
45 -2.63333333333333
46 -2.63333333333333
46 -2.63333333333333
46 -2.63333333333333
46 -2.63333333333333
51 -2.63333333333333
51 -2.63333333333333
51 -2.63333333333333
51 -2.63333333333333
52 -2.63333333333333
52 -2.63333333333333
52 -2.63333333333333
52 -2.63333333333333
53 -2.1
53 -2.1
53 -2.1
53 -2.1
54 -2.63333333333333
54 -2.63333333333333
54 -2.63333333333333
54 -2.63333333333333
61 -2.63333333333333
61 -2.63333333333333
61 -2.63333333333333
61 -2.63333333333333
64 -2.63333333333333
64 -2.63333333333333
64 -2.63333333333333
64 -2.63333333333333
65 -2.63333333333333
65 -2.63333333333333
65 -2.63333333333333
65 -2.63333333333333
