LE_MET_level6 mapped_stk_code
0 0
0 52
0 51
0 54
0 53
0 65
0 64
1 0
1 52
1 51
1 54
1 53
1 65
1 64
2 51
2 54
2 42
2 45
2 35
2 31
2 41
2 43
2 61
2 32
3 51
3 54
3 42
3 45
3 35
3 31
3 41
3 43
3 61
3 32
4 51
4 54
4 42
4 45
4 35
4 31
4 41
4 43
4 61
4 32
5 51
5 54
5 42
5 45
5 35
5 31
5 41
5 43
5 61
5 32
6 51
6 54
6 42
6 45
6 35
6 31
6 41
6 43
6 61
6 32
7 51
7 54
7 42
7 45
7 35
7 31
7 41
7 43
7 61
7 32
8 51
8 54
8 42
8 45
8 35
8 31
8 41
8 43
8 61
8 32
9 51
9 54
9 42
9 45
9 35
9 31
9 41
9 43
9 61
9 32
10 51
10 54
10 42
10 45
10 35
10 31
10 41
10 43
10 61
10 32
12 51
12 54
12 42
12 45
12 35
12 31
12 41
12 43
12 61
12 32
13 51
13 54
13 42
13 45
13 35
13 31
13 41
13 43
13 61
13 32
14 0
14 52
14 51
14 54
14 53
14 65
14 64
15 0
15 52
15 51
15 54
15 53
15 42
15 45
15 35
15 31
15 41
15 65
15 64
15 43
15 61
15 32
16 0
16 52
16 51
16 54
16 53
16 65
16 64
17 0
17 52
17 51
17 54
17 53
17 42
17 45
17 35
17 31
17 41
17 65
17 64
17 43
17 61
17 32
18 0
18 52
18 51
18 54
18 53
18 42
18 45
18 35
18 31
18 41
18 65
18 64
18 43
18 61
18 32
19 0
19 52
19 51
19 54
19 53
19 42
19 45
19 35
19 31
19 41
19 65
19 64
19 43
19 61
19 32
20 51
20 54
20 42
20 45
20 35
20 31
20 41
20 43
20 61
20 32
21 0
21 52
21 51
21 54
21 53
21 42
21 45
21 35
21 31
21 41
21 65
21 64
21 43
21 61
21 32
22 0
22 52
22 51
22 54
22 53
22 42
22 45
22 35
22 31
22 41
22 65
22 64
22 43
22 61
22 32
23 0
23 52
23 51
23 54
23 53
23 65
23 64
