# nbpops
37
# nbbenthospops
4
# implicit stocks
0 3 4 5 6 7 8 9 10 14 15 16 17 18 19 20 21 24 25 26 27 28 29 30 32 33 34 36
# calib the other landings per stock
1 1.0010925485666 3.53715990983098 1 1 1 1 1 1 1 1 1.52918062132718 1.92044974336468 4 1 1 1 1 1 1 1 1 4 4 1 1 1 1 1 1 1 4 1 1 1 0.25 1
# calib weight-at-szgroup per stock
1 2.90133333333333 4 1 1 1 1 1 1 1 1 0.26953125 0.25 0.25 1 1 1 1 1 1 1 1 3.47764705882353 0.25 1 1 1 1 1 1 1 0.25 1 1 1 0.846 1
# calib the cpue multiplier per stock
1 1.0010925485666 3.53715990983098 1 1 1 1 1 1 1 1 1.52918062132718 1.92044974336468 4 1 1 1 1 1 1 1 1 4 4 1 1 1 1 1 1 1 4 1 1 1 0.25 1
# interesting harbours

# implicit stocks level 2

# grouped tacs (a group id for each stock e.g. 1 1 2 2 3 4 if 6 stocks but only 4 tacs)
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 
# nbcp coupling pop ids
1 2
